number of photons = 10000.000000
bin size = 0.00025 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00013 	 8.665e+08 	 3.407e+05 	 7.083e+02 
0.00038 	 1.008e+08 	 1.154e+05 	 4.729e+02 
0.00063 	 3.691e+07 	 6.671e+04 	 3.808e+02 
0.00088 	 1.918e+07 	 4.670e+04 	 3.210e+02 
0.00113 	 1.163e+07 	 3.442e+04 	 2.679e+02 
0.00137 	 7.965e+06 	 2.724e+04 	 2.290e+02 
0.00163 	 5.708e+06 	 2.143e+04 	 2.042e+02 
0.00187 	 4.152e+06 	 1.720e+04 	 1.755e+02 
0.00213 	 3.146e+06 	 1.440e+04 	 1.543e+02 
0.00237 	 2.441e+06 	 1.181e+04 	 1.340e+02 
0.00263 	 1.904e+06 	 9.629e+03 	 1.157e+02 
0.00287 	 1.508e+06 	 8.121e+03 	 1.019e+02 
0.00313 	 1.209e+06 	 6.862e+03 	 8.836e+01 
0.00337 	 9.762e+05 	 5.865e+03 	 7.800e+01 
0.00363 	 7.812e+05 	 4.905e+03 	 6.805e+01 
0.00387 	 6.456e+05 	 4.142e+03 	 6.065e+01 
0.00413 	 5.259e+05 	 3.489e+03 	 5.323e+01 
0.00438 	 4.328e+05 	 3.004e+03 	 4.629e+01 
0.00462 	 3.594e+05 	 2.615e+03 	 4.195e+01 
0.00487 	 3.041e+05 	 2.210e+03 	 3.635e+01 
0.00513 	 2.493e+05 	 1.879e+03 	 3.267e+01 
0.00538 	 2.105e+05 	 1.607e+03 	 2.865e+01 
0.00562 	 1.776e+05 	 1.412e+03 	 2.478e+01 
0.00588 	 1.520e+05 	 1.202e+03 	 2.122e+01 
0.00613 	 1.282e+05 	 1.059e+03 	 1.946e+01 
0.00638 	 1.089e+05 	 9.067e+02 	 1.709e+01 
0.00662 	 9.024e+04 	 7.587e+02 	 1.483e+01 
0.00688 	 7.534e+04 	 6.610e+02 	 1.304e+01 
0.00713 	 6.358e+04 	 5.776e+02 	 1.096e+01 
0.00738 	 5.502e+04 	 4.972e+02 	 9.638e+00 
0.00762 	 4.648e+04 	 4.297e+02 	 8.297e+00 
0.00788 	 3.951e+04 	 3.675e+02 	 7.362e+00 
0.00813 	 3.318e+04 	 3.119e+02 	 6.582e+00 
0.00838 	 2.817e+04 	 2.712e+02 	 5.876e+00 
0.00863 	 2.345e+04 	 2.318e+02 	 5.108e+00 
0.00888 	 2.044e+04 	 2.030e+02 	 4.540e+00 
0.00912 	 1.754e+04 	 1.803e+02 	 3.930e+00 
0.00937 	 1.474e+04 	 1.553e+02 	 3.449e+00 
0.00962 	 1.259e+04 	 1.328e+02 	 3.151e+00 
0.00988 	 1.079e+04 	 1.196e+02 	 2.534e+00 
0.01013 	 9.483e+03 	 1.025e+02 	 2.319e+00 
0.01038 	 8.095e+03 	 8.857e+01 	 2.121e+00 
0.01063 	 6.894e+03 	 7.533e+01 	 1.855e+00 
0.01088 	 5.961e+03 	 6.418e+01 	 1.589e+00 
0.01112 	 5.171e+03 	 5.711e+01 	 1.486e+00 
0.01137 	 4.313e+03 	 5.017e+01 	 1.287e+00 
0.01162 	 3.780e+03 	 4.265e+01 	 1.102e+00 
0.01188 	 3.243e+03 	 3.672e+01 	 9.634e-01 
0.01213 	 2.802e+03 	 3.220e+01 	 8.591e-01 
0.01238 	 2.405e+03 	 2.674e+01 	 7.983e-01 
0.01263 	 2.066e+03 	 2.442e+01 	 6.859e-01 
0.01288 	 1.825e+03 	 2.215e+01 	 5.468e-01 
0.01312 	 1.587e+03 	 1.919e+01 	 4.792e-01 
0.01337 	 1.297e+03 	 1.717e+01 	 4.317e-01 
0.01362 	 1.146e+03 	 1.435e+01 	 3.809e-01 
0.01388 	 1.006e+03 	 1.273e+01 	 3.093e-01 
0.01413 	 8.515e+02 	 1.074e+01 	 3.020e-01 
0.01438 	 7.237e+02 	 9.057e+00 	 2.380e-01 
0.01463 	 6.783e+02 	 7.830e+00 	 1.928e-01 
0.01488 	 5.343e+02 	 7.028e+00 	 1.784e-01 
0.01512 	 4.631e+02 	 5.915e+00 	 1.688e-01 
0.01537 	 4.195e+02 	 5.822e+00 	 1.349e-01 
0.01562 	 3.530e+02 	 4.665e+00 	 1.135e-01 
0.01588 	 3.059e+02 	 4.260e+00 	 1.126e-01 
0.01613 	 2.588e+02 	 3.723e+00 	 1.045e-01 
0.01638 	 2.323e+02 	 3.562e+00 	 7.550e-02 
0.01663 	 2.054e+02 	 2.985e+00 	 6.881e-02 
0.01688 	 1.769e+02 	 2.702e+00 	 8.390e-02 
0.01713 	 1.438e+02 	 2.150e+00 	 8.292e-02 
0.01738 	 1.246e+02 	 1.852e+00 	 6.144e-02 
0.01763 	 1.160e+02 	 1.734e+00 	 7.189e-02 
0.01788 	 1.020e+02 	 1.574e+00 	 7.135e-02 
0.01812 	 9.243e+01 	 1.339e+00 	 5.166e-02 
0.01837 	 7.566e+01 	 1.270e+00 	 4.087e-02 
0.01862 	 7.403e+01 	 1.424e+00 	 3.080e-02 
0.01887 	 5.949e+01 	 1.055e+00 	 2.792e-02 
0.01912 	 5.645e+01 	 8.003e-01 	 1.548e-02 
0.01937 	 3.909e+01 	 7.419e-01 	 1.934e-02 
0.01963 	 3.703e+01 	 6.721e-01 	 1.476e-02 
0.01988 	 3.732e+01 	 6.455e-01 	 1.047e-02 
0.02013 	 2.990e+01 	 4.167e-01 	 5.591e-03 
0.02038 	 2.383e+01 	 4.054e-01 	 9.130e-03 
0.02063 	 2.084e+01 	 4.440e-01 	 4.542e-03 
0.02088 	 1.578e+01 	 2.526e-01 	 3.532e-03 
0.02113 	 1.184e+01 	 2.708e-01 	 3.689e-03 
0.02138 	 1.234e+01 	 2.179e-01 	 7.990e-03 
